subject,appeared,highest,average,a1,a2,per,b1,b2,c1,c2,d1,d2,e
English,207,98,85.3,88,51,67,34,18,8,8,0,0,0
Math,90,99,75.8,20,18,42,15,16,14,2,3,2,0
Economics,99,100,85.8,37,26,64,18,6,6,2,2,2,0
Political Science,63,98,81.7,27,16,68,5,8,2,2,2,1,0
Sociology,64,100,90.1,48,6,84,5,2,0,2,1,0,0
Physics,91,100,76.2,14,17,38,19,9,4,9,3,6,0
Chemistry,81,98,80.5,23,19,52,12,12,5,6,1,3,0
Biology,34,99,87.1,11,10,62,3,5,3,1,1,0,0
Business Studies,63,95,80.5,13,20,52,9,7,9,1,4,0,0
Accountancy,62,94,67.3,5,18,37,8,9,8,6,4,4,0
Physical Education,73,94,81.3,5,29,47,20,11,4,4,0,0,0
